feature_variant,split,target_space,bucket,n_pairs,MSE,Pearson_R,Stratum_Adjusted_R
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,overall,1138593250,5.158053827216065,0.4781025755558088,0.2970848626817513
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,1-4,18162730,1.0897381666349335,0.34713535983285265,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,5-9,22498055,2.47060363814247,0.3935721232021544,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,10-19,44311585,5.2107685793965,0.4136597438384762,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,20-49,127458555,7.407528962762031,0.3938406976031162,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,50-99,194176925,6.855315649026035,0.32502731532110185,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,100-199,319901350,5.330304331175448,0.2680397683078036,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_oe,200+,412084050,3.849173142124255,0.22412053833389875,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,overall,1138593250,5.158053828785852,0.409425736013116,0.29708486277321666
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,1-4,18162730,1.0897382073132964,0.34722975380667853,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,5-9,22498055,2.470603707352459,0.3908764715762574,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,10-19,44311585,5.210768618331277,0.40343165968796424,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,20-49,127458555,7.407528945176563,0.5072383041208116,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,50-99,194176925,6.855315649102237,0.32502731531209106,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,100-199,319901350,5.330304331154246,0.2680397683052625,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,raw_resid,200+,412084050,3.8491731421232234,0.22412053833437728,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,smoothed_oe,overall,1138593250,0.8609399320012501,0.7971794701081613,0.5928870596918853
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,smoothed_oe,1-4,18162730,0.22985297625688111,0.6048104877407764,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,train,smoothed_oe,5-9,22498055,0.4545958997291969,0.6836208174251678,
