diag_idx,target_space,n_pairs,mean_error_smoothed_oe,smoothed_correction
1,smoothed_oe,411675,-0.0596785731613636,-0.0348639115691185
2,smoothed_oe,410850,-0.011478707194328308,-0.020299945026636124
3,smoothed_oe,410025,0.007240782026201487,-0.0053414953872561455
4,smoothed_oe,409200,0.019438236951828003,0.007869305089116096
5,smoothed_oe,408375,0.02173011191189289,0.019019480794668198
6,smoothed_oe,407550,0.01354713924229145,0.028960369527339935
7,smoothed_oe,406725,0.03267671540379524,0.037614695727825165
8,smoothed_oe,405900,0.06641114503145218,0.043182987719774246
9,smoothed_oe,405075,0.09880927205085754,0.04433480650186539
10,smoothed_oe,404250,0.012316962704062462,0.043066076934337616
11,smoothed_oe,403425,-0.005523681174963713,0.04415544122457504
12,smoothed_oe,402600,0.04529905319213867,0.05132565647363663
13,smoothed_oe,401775,0.07179385423660278,0.06474057585000992
14,smoothed_oe,400950,0.08084374666213989,0.082301065325737
15,smoothed_oe,400125,0.0885130912065506,0.10194274038076401
16,smoothed_oe,399300,0.11991672962903976,0.12185308337211609
17,smoothed_oe,398475,0.15937860310077667,0.13916915655136108
18,smoothed_oe,397650,0.170275017619133,0.14923782646656036
19,smoothed_oe,396825,0.17613931000232697,0.14621953666210175
20,smoothed_oe,396000,0.19643425941467285,0.1253015100955963
21,smoothed_oe,395175,0.14237064123153687,0.0866686999797821
22,smoothed_oe,394350,0.054298318922519684,0.03883397579193115
23,smoothed_oe,393525,-0.13052961230278015,-0.0032871910370886326
24,smoothed_oe,392700,-0.10230401158332825,-0.026368243619799614
25,smoothed_oe,391875,-0.05127718299627304,-0.026343541219830513
26,smoothed_oe,391050,-0.009454567916691303,-0.008874708786606789
27,smoothed_oe,390225,0.027561800554394722,0.016544759273529053
28,smoothed_oe,389400,0.0522480383515358,0.042467109858989716
29,smoothed_oe,388575,0.07391387969255447,0.06544666737318039
30,smoothed_oe,387750,0.09038238972425461,0.08500918000936508
31,smoothed_oe,386925,0.10301636904478073,0.1019708439707756
32,smoothed_oe,386100,0.11772113293409348,0.11723586916923523
33,smoothed_oe,385275,0.1323811411857605,0.13112710416316986
34,smoothed_oe,384450,0.14879730343818665,0.143136128783226
35,smoothed_oe,383625,0.16188393533229828,0.1520010381937027
36,smoothed_oe,382800,0.16943137347698212,0.15605337917804718
37,smoothed_oe,381975,0.17056405544281006,0.15378688275814056
38,smoothed_oe,381150,0.16672863066196442,0.14461350440979004
39,smoothed_oe,380325,0.13695093989372253,0.12951785326004028
40,smoothed_oe,379500,0.1071462333202362,0.11106550693511963
41,smoothed_oe,378675,0.08451402187347412,0.09254466742277145
42,smoothed_oe,377850,0.06314386427402496,0.07674246281385422
43,smoothed_oe,377025,0.05274944752454758,0.06513023376464844
44,smoothed_oe,376200,0.05526399612426758,0.05785609781742096
45,smoothed_oe,375375,0.04792122542858124,0.05435911938548088
46,smoothed_oe,374550,0.04869168624281883,0.054025307297706604
47,smoothed_oe,373725,0.04912436753511429,0.056408487260341644
48,smoothed_oe,372900,0.05928162857890129,0.061073705554008484
49,smoothed_oe,372075,0.06507600098848343,0.06745033711194992
50,smoothed_oe,371250,0.07417062669992447,0.07487662136554718
51,smoothed_oe,370425,0.08329414576292038,0.08271844685077667
52,smoothed_oe,369600,0.09177003800868988,0.09045108407735825
53,smoothed_oe,368775,0.10015098005533218,0.09771804511547089
54,smoothed_oe,367950,0.10510475933551788,0.10438454151153564
55,smoothed_oe,367125,0.11204566806554794,0.11054889857769012
